Name,Date,Tags,Text
Menjadi Expert: Kunci Sukses di Era Kompetitif! 💡,"October 21, 2024",Insecure,
Zoom Kick-Off Breakdown Habit hingga TO!,"October 28, 2024",,"Hai, Pejuang PTN! 🎓 Semoga kabarnya baik, ya! Kali ini, kita bakal bahas tuntas dari sesi mentoring kemarin tentang Try Out (TO) dan persiapan UTBK. Ini rangkuman yang penuh tips dari mentor yang pastinya bikin persiapan kalian makin mantap! Biar belajar makin asyik, yuk kita breakdown langkah-langkahnya! 🚀"
Berani Percaya pada Diri Sendiri: Melawan Keraguan demi Masa Depan,"November 30, 2024",Insecure,
Belajar dari Kegagalan dan Membangun Lingkungan Positif untuk Tumbuh,"November 30, 2024",Motivasi,
Konsistensi adalah Kunci,"November 30, 2024",Konsistensi,
How to become so creative it feels illegal,"March 25, 2026",Pola Pikir,
The Quiet Power of Doing Less,"March 27, 2026",Minimalisme Pikiran,
Lock the Fuck in and Make the next 6 Months Better than the Last 10 Years,,,
how to turn your life around in 90 days...,"March 21, 2026",Reality Check,
How to be Irreplaceable in the AI Era,"March 27, 2026",Pola Pikir,
how to become LIMITLESS,,,
How to Win When Everyone Has AI,,,
"Until death, all defeat is psychological","January 24, 2026",Reality Check,
